Ration_Card_No,Guardian_Name,Student_Name
RC1001,Ramesh Nayak,Rahul Nayak
RC1002,Suresh Das,Priya Das
RC1003,Bikash Rout,Aman Rout
RC1003,Bikash Rout,Riya Rout
RC1004,Mohan Sahu,Ankit Sahu
RC1005,Raj Patel,Neha Patel
RC1006,Sanjay Behera,Rohit Behera
RC1007,Ajit Mishra,Sneha Mishra
RC1008,Ram Swain,Deepak Swain
RC1009,Gopal Naik,Pooja Naik
RC1010,Prakash Das,Arjun Das
RC1011,Dinesh Rout,Kajal Rout
RC1012,Rakesh Sethi,Soumya Sethi
RC1013,Suresh Mohanty,Tina Mohanty
RC1014,Ajay Mallik,Rakesh Mallik
RC1015,Sunil Pradhan,Ananya Pradhan
RC1016,Manoj Jena,Vikash Jena
RC1017,Biswanath Das,Sonali Das
RC1018,Sudhir Panda,Abhishek Panda
RC1019,Pradeep Sahu,Nikita Sahu

RC1020,Damodar Nayak,Ritesh Nayak
RC1021,Rabi Das,Priyanka Das
RC1022,Debashish Rout,Ayush Rout
RC1022,Debashish Rout,Ritika Rout
RC1023,Lokanath Sahu,Sagar Sahu
RC1024,Arun Patel,Nisha Patel
RC1025,Raghunath Behera,Sumit Behera
RC1026,Santosh Mishra,Pallavi Mishra
RC1027,Bhuban Swain,Akash Swain
RC1028,Rabindra Naik,Meena Naik
RC1029,Gour Das,Rohan Das
RC1030,Pratap Rout,Komal Rout
RC1031,Harish Sethi,Sachin Sethi
RC1032,Debendra Mohanty,Rupa Mohanty
RC1033,Jagannath Mallik,Amit Mallik
RC1034,Ramesh Pradhan,Isha Pradhan
RC1035,Narayan Jena,Subham Jena
RC1036,Prabhat Das,Pinky Das
RC1037,Ajit Panda,Sumit Panda
RC1038,Manas Sahu,Ankita Sahu

RC1039,Suresh Kumar,Rahul Kumar
RC1040,Ramesh Das,Priyanshi Das
RC1041,Ganesh Rout,Aditya Rout
RC1041,Ganesh Rout,Roshni Rout
RC1042,Dilip Sahu,Kunal Sahu
RC1043,Sanjib Patel,Muskan Patel
RC1044,Bibhu Behera,Ayush Behera
RC1045,Sudam Mishra,Shruti Mishra
RC1046,Kishore Swain,Ritik Swain
RC1047,Tapan Naik,Sanjana Naik
RC1048,Rajesh Das,Nikhil Das
RC1049,Subash Rout,Simran Rout
RC1050,Goutam Sethi,Satyam Sethi
RC1051,Nimai Mohanty,Priyanka Mohanty
RC1052,Pramod Mallik,Ashish Mallik
RC1053,Akshay Pradhan,Divya Pradhan
RC1054,Pratap Jena,Raj Jena
RC1055,Shyam Das,Anjali Das
RC1056,Kailash Panda,Manish Panda
RC1057,Girish Sahu,Priyanka Sahu

RC1058,Madan Nayak,Rohan Nayak
RC1059,Shankar Das,Sneha Das
RC1060,Prakash Rout,Abhinav Rout
RC1060,Prakash Rout,Ritika Rout
RC1061,Sukanta Sahu,Vivek Sahu
RC1062,Dharmendra Patel,Puja Patel
RC1063,Trilochan Behera,Suraj Behera
RC1064,Anil Mishra,Aditi Mishra
RC1065,Jagannath Swain,Sumit Swain
RC1066,Sarat Naik,Monalisa Naik
RC1067,Prabhu Das,Aryan Das
RC1068,Akash Rout,Neelam Rout
RC1069,Pradeep Sethi,Rajesh Sethi
RC1070,Dipak Mohanty,Tanushree Mohanty
RC1071,Rabindra Mallik,Ajay Mallik
RC1072,Duryodhan Pradhan,Payal Pradhan
RC1073,Gopal Jena,Subrat Jena
RC1074,Madhab Das,Lipika Das
RC1075,Hari Panda,Anup Panda
RC1076,Krishna Sahu,Sushree Sahu
